Counts of non archived services for service providers:

+-------------------------------------------------------------------------------+-------+
| name                                                                          | count |
| Max Planck Institute Integrated Gene Analysis System (MIGenAS)                |     1 |
| miRMaid                                                                       |     1 |
| Mouse Resource Browser (MRB)                                                  |     1 |
| wwwsup-scmbb-ulb-ac-be                                                        |     1 |
| www-dkcoin-org                                                                |     1 |
| Allen Institute for Brain Science                                             |     1 |
| Helmholtz Open Bioinformatics Technology (HOBIT)                              |     1 |
| Medical College of Wisconsin                                                  |     1 |
| STRING                                                                        |     1 |
| www-mutalyzer-nl                                                              |     1 |
| irefindex-uio-no                                                              |     1 |
| National Cancer Institute (NCI)                                               |     1 |
| Thomsom Reuters                                                               |     1 |
| Katholieke Universiteit Leuven                                                |     1 |
| WikiPathways                                                                  |     1 |
| diArk                                                                         |     1 |
| quebec-omim-bio2rdf-org                                                       |     1 |
| mor-nlm-nih-gov                                                               |     1 |
| GenePattern                                                                   |     1 |
| Inha University, South Korea                                                  |     1 |
| University of Uppsala, Sweden                                                 |     1 |
| quebec-go-bio2rdf-org                                                         |     1 |
| Reactome                                                                      |     1 |
| Centro Nacional de Biotecnologia (National Center for Biotechnology)          |     1 |
| obo-bio2rdf-org                                                               |     1 |
| http                                                                          |     1 |
| Pathbase                                                                      |     1 |
| Legoo                                                                         |     1 |
| SBML.org                                                                      |     1 |
| quebec-geneid-bio2rdf-org                                                     |     1 |
| University of Mexico (Center for Genomic Sciences of the National Autonomous) |     1 |
| ProTag                                                                        |     1 |
| XSPAN - A Cross-Species Anatomy Project                                       |     1 |
| GeNS                                                                          |     1 |
| reactome-bio2rdf-org                                                          |     1 |
| Institute of Bioinformatics, Tsinghua University                              |     1 |
| The G6G Directory of Omics and Intelligent Software                           |     1 |
| Institute of Bioinformatics and Systems Biology Helmholtz Zentrum M▒nchen     |     1 |
| mgi-bio2rdf-org                                                               |     1 |
| German Cancer Research Center                                                 |     1 |
| eMAP                                                                          |     1 |
| HGVbase                                                                       |     1 |
| Dumontier Lab                                                                 |     1 |
| GeneON                                                                        |     1 |
| quebec-iproclass-bio2rdf-org                                                  |     1 |
| Biotechnology Center of the TU Dresden                                        |     1 |
| Standford University                                                          |     1 |
| BioMart                                                                       |     1 |
| BridgeDb                                                                      |     1 |
| hhpid-bio2rdf-org                                                             |     1 |
| KEGG                                                                          |     1 |
| Peking University                                                             |     1 |
| International Rice Information System (IRIS)                                  |     1 |
| IceLogo                                                                       |     1 |
| Netherlands Bioinformatics Consortium (NBIC)                                  |     1 |
| www-kmplot-com                                                                |     1 |
| Nactem                                                                        |     1 |
| Glasgow Taxonomic Name Server                                                 |     1 |
| World Wide Molecular Matrix (WWMM)                                            |     1 |
| ontologicaldiscovery-org                                                      |     1 |
| bioputer-mimuw-edu-pl                                                         |     1 |
+-------------------------------------------------------------------------------+-------+
142 rows in set (0.00 sec)
